date,min,max,pressure
2020-12-23,15.78,25.39,1018.1
2020-12-24,17.0,26.39,1016.4
2020-12-25,16.78,26.0,1014.8
2020-12-26,16.0,25.11,1016.7
2020-12-27,19.0,24.0,1018.9
2020-12-28,18.72,25.39,1021.2
2020-12-29,17.0,25.78,1019.6
2020-12-30,15.72,24.78,1018.7
2020-12-31,16.0,27.11,1017.9
2021-01-01,17.78,27.0,1017.5
2021-01-02,17.78,26.61,1017.8
2021-01-03,16.61,26.22,1018.5
2021-01-04,16.72,24.78,1017.2
2021-01-05,14.0,24.89,1017.1
2021-01-06,14.0,25.28,1018.8
2021-01-07,14.22,24.61,1019.4
2021-01-08,14.61,24.0,1019.5
2021-01-09,14.39,24.0,1020.0
2021-01-10,12.78,24.11,1019.8
2021-01-11,13.0,24.78,1019.0
2021-01-12,12.72,24.22,1019.4
2021-01-13,13.22,24.0,1019.6
2021-01-14,13.0,24.28,1018.3
2021-01-15,15.0,23.5,1016.2
2021-01-16,14.89,17.0,
2021-01-17,14.61,23.39,1014.0
2021-01-18,14.0,25.5,1013.1
2021-01-19,16.28,27.5,1015.2
2021-01-20,16.61,26.0,1016.4
2021-01-21,16.0,26.11,1017.0
2021-01-22,15.0,24.28,1017.4
2021-01-23,16.0,22.61,1018.6
2021-01-24,15.0,25.39,1019.5
2021-01-25,16.39,24.0,1019.4
2021-01-26,15.5,24.0,1019.4
2021-01-27,15.61,24.61,1018.4
2021-01-28,16.0,26.0,1017.9
2021-01-29,15.89,27.5,1018.3
2021-01-30,15.78,28.61,1017.7
2021-01-31,17.78,28.72,1016.5
2021-02-01,16.89,25.11,1017.4
2021-02-02,15.0,23.28,1019.4
2021-02-03,14.89,24.89,1019.1
2021-02-04,15.61,25.5,1017.3
2021-02-05,15.0,26.39,1017.1
2021-02-06,16.0,29.72,1017.0
2021-02-07,18.61,28.78,1015.9
2021-02-08,18.61,27.72,1016.9
2021-02-09,18.61,25.0,1019.6
2021-02-10,19.0,23.0,
